58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,1676,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,1796,1736,379,1797,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,1737,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,1737,58,58,58,58,58,58,58,58,297,298,58,58,58,58,58
58,58,58,58,1737,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,1796,379,1736,1736,1736,1736,1736,1736,1797,58,58,58,58,58,58,58,58
58,58,58,58,1737,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
170,171,58,58,1737,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
349,1256,349,58,1737,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
349,1196,349,58,1677,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
349,1196,349,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
349,1196,349,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
349,1196,349,58,58,58,58,58,58,58,58,1412,1412,1412,1412,3040,3041,3041,3041,3042
349,1196,349,58,58,58,58,58,58,58,58,1412,1412,1412,1412,3100,3101,3101,3101,3102
349,1196,349,58,58,58,58,58,58,58,58,3040,3041,3041,3041,58,58,58,58,58
349,1196,349,349,349,349,1256,349,349,349,58,3100,3101,3101,3101,58,58,58,2651,2652
349,1258,1197,1197,1197,1197,23,1197,1197,1317,58,58,58,58,58,58,2942,58,58,58
349,349,349,349,349,349,1257,349,349,349,58,58,58,58,58,58,2942,58,58,58
